"Reporting starts","Reporting ends","Ad set name","Ad set delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (LKR)",Impressions,Reach,Ends,Starts,"Attribution setting",Bid,"Bid type","Last significant edit"
2023-03-08,2026-04-08,"New Engagement ad set",completed,1365,actions:post_engagement,6.19088645,20000,Lifetime,8450.56,67693,39120,2023-03-11,2023-03-03,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2635,actions:offsite_conversion.fb_pixel_view_content,7.59013283,20000,Lifetime,20000,202160,125639,2023-03-09,2023-03-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,67878,actions:post_engagement,0.22098471,15000,Lifetime,15000,160390,110083,2023-03-16,2023-03-08,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,10th,completed,358,actions:offsite_conversion.fb_pixel_view_content,27.93296089,10000,Lifetime,10000,89965,79086,2023-03-10,2023-03-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,17th,completed,1238,actions:offsite_conversion.fb_pixel_view_content,12.11631664,15000,Lifetime,15000,169878,125616,2023-03-17,2023-03-16,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,31st,completed,1319,actions:offsite_conversion.fb_pixel_view_content,7.58150114,10000,Lifetime,10000,111621,79020,2023-03-31,2023-03-30,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,24th,completed,637,actions:offsite_conversion.fb_pixel_view_content,15.69858713,10000,Lifetime,10000,95865,66348,2023-03-24,2023-03-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,10th,completed,521,actions:offsite_conversion.fb_pixel_view_content,19.19385797,10000,Lifetime,10000,132510,103331,2023-03-10,2023-03-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,24th,completed,1012,actions:offsite_conversion.fb_pixel_view_content,14.82213439,15000,Lifetime,15000,162899,110311,2023-03-24,2023-03-23,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,1766,actions:post_engagement,8.49377123,15000,Lifetime,15000,81935,59878,2023-03-11,2023-03-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"3rd week",completed,2141,actions:offsite_conversion.fb_pixel_view_content,16.34750117,35000,Lifetime,35000,344898,144968,2023-03-15,2023-03-13,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"4th week",completed,2115,actions:offsite_conversion.fb_pixel_view_content,16.54846336,35000,Lifetime,35000,353489,167753,2023-03-22,2023-03-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"5th week",completed,3273,actions:offsite_conversion.fb_pixel_view_content,10.69355332,35000,Lifetime,35000,321552,146130,2023-03-29,2023-03-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"1st ad",completed,2410,actions:offsite_conversion.fb_pixel_view_content,10.37344398,25000,Lifetime,25000,334883,160867,2023-03-16,2023-03-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,558,actions:offsite_conversion.fb_pixel_view_content,17.92114695,10000,Lifetime,10000,102344,79206,2023-03-14,2023-03-14,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"21st Mar",completed,1031,actions:offsite_conversion.fb_pixel_view_content,17.45877789,18000,Lifetime,18000,184472,114954,2023-03-21,2023-03-20,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"28th Mar",completed,1045,actions:offsite_conversion.fb_pixel_view_content,17.22488038,18000,Lifetime,18000,174644,113872,2023-03-28,2023-03-27,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
2023-03-08,2026-04-08,"New Engagement ad set",completed,2181,actions:offsite_conversion.fb_pixel_view_content,11.46263182,25000,Lifetime,25000,194932,120776,2023-03-16,2023-03-15,"7-day click or 1-day view",0,ABSOLUTE_OCPM,0
